"Name","Title ID","In Force","Series","Collection","Classification","Provision","Register ID"
"Australian Fisheries Management Authority - specific fishing logbooks","C2015G00269","In force","","Gazette","N/A","s 14","C2015G00269"
"Torres Strait Tropical Rock Lobster Fishery - Draft Strategic Assessment Report","C2016G01068","In force","","Gazette","N/A","s 15A","C2016G01068"
"Arrangement between the Commonwealth and the State of Queensland under section 31 of the Torres Strait Fisheries Act 1984","F2008B00750","In force","","Legislative instrument","N/A","s 31","F2008B00750"
"Torres Strait Fisheries Regulations 1985","F1997B01836","In force","SR 1985 No. 9","Legislative instrument","Regulations","s 60","F1997B01836"
"Torres Strait Fisheries (Bêche-de-mer) Management Instrument 2022","F2022L00176","In force","","Legislative instrument","N/A","s 16","F2022L00176"
"Torres Strait Fisheries (Spanish Mackerel) Management Instrument 2025","F2025L01636","In force","","Legislative instrument","N/A","s 16(1), 35(1)(a)","F2025L01636"
"Torres Strait Fisheries (Crab) Management Instrument 2025","F2025L01635","In force","","Legislative instrument","N/A","s 16(1)","F2025L01635"
"Torres Strait Fisheries (Prawn) Management Instrument 2025","F2025L01637","In force","","Legislative instrument","N/A","s 16(1), 35(1)(a)","F2025L01637"
"Torres Strait Fisheries (Pearl Shell) Instrument 2020","F2020L01222","In force","","Legislative instrument","N/A","s 16","F2020L01222"
"Torres Strait Fisheries (Finfish) Management Instrument 2020","F2020L01216","In force","","Legislative instrument","N/A","s 16","F2020L01216"
"Torres Strait Fisheries Act 1984 - Proclamation (07/02/1985)","F2008B00753","In force","","Legislative instrument","N/A","s 15(1)","F2008B00753"
"Torres Strait Fisheries (Trochus) Management Instrument 2025","F2025L01638","In force","","Legislative instrument","N/A","s 16(1), 35(1)(a)","F2025L01638"
"Torres Strait Fisheries (Tropical Rock Lobster) Management Instrument 2018","F2018L01044","In force","","Legislative instrument","N/A","s 16","F2018L01044"
"Torres Strait Fisheries Management Instrument No. 12","F2017L00169","In force","","Legislative instrument","N/A","s 16, 35","F2017L00169"
"Declaration of adjacent coastal area of Australia","F2008B00752","In force","","Legislative instrument","N/A","s 3(3)(a)","F2008B00752"
"Torres Strait Fisheries (Quotas for Tropical Rock Lobster (Kaiar)) (Total Allowable Catch) Determination 2025","F2025L01406","In force","","Legislative instrument","N/A","s 15A(4)","F2025L01406"
"Torres Strait Prawn Fishery Fishing Season Determination 2015","F2015L01861","In force","","Legislative instrument","N/A","s 15A","F2015L01861"
"Community Fishing Notice No. 1 - Community fishing in the Torres Strait - prohibition on taking fish without a licence","F2008B00622","In force","","Legislative instrument","N/A","s 17 and 35(1)(a)","F2008B00622"
"Torres Strait Fisheries Management Instrument No. 16","F2017L00371","In force","","Legislative instrument","N/A","s 16","F2017L00371"
"Torres Strait Fisheries Act 1984 - Proclamation (17/03/1999)","F2008B00760","In force","","Legislative instrument","N/A","s 15(1)","F2008B00760"
"Torres Strait Fisheries (Furnishing of Logbooks) Instrument 2024","F2024L01449","In force","","Legislative instrument","N/A","s 14(1)","F2024L01449"
"Torres Strait Fisheries (Quotas for Tropical Rock Lobster (Kaiar)) (Total Allowable Catch) Amendment Determination 2026","F2026L00100","In force","","Legislative instrument","N/A","s 15A(4)","F2026L00100"
"Biosecurity (Consequential Amendments and Transitional Provisions) Regulation 2016","F2016L00717","In force","","Legislative instrument","Regulations","para 54(1)(a) of sch 2","F2016L00717"
"Torres Strait Fisheries (Coral and Live Rock) Management Instrument 2020","F2020L01215","In force","","Legislative instrument","N/A","s 16","F2020L01215"
"Torres Strait Prawn Fishery Management Plan 2009","F2009L00505","In force","","Legislative instrument","N/A","s 15A and para 35(1)(a)","F2009L00505"
"Torres Strait Fisheries (Quotas for Tropical Rock Lobster (Kaiar)) Management Plan 2018","F2018L01645","In force","","Legislative instrument","N/A","s 15A","F2018L01645"
"Torres Strait Prawn Fishery Fishing Season Determination 2025","F2025L01639","In force","","Legislative instrument","N/A","s 15A(1), 35(1)(a)","F2025L01639"
"Torres Strait Prawn Fishery (Bycatch Reduction Devices) Instrument 2024","F2024L00600","In force","","Legislative instrument","N/A","para 16(1)(c)","F2024L00600"
"Torres Strait Finfish Fishery Management Plan 2013","F2013L01394","In force","","Legislative instrument","N/A","s 15A para 35(1)(a)","F2013L01394"
"Declaration of adjacent coastal area of Papua New Guinea","F2008B00751","In force","","Legislative instrument","N/A","s 3(3)(b)","F2008B00751"
